"mz","intensity"
39.0226449964697,0.03
41.0382160572223,0.06
43.0539013656582,0.03
53.037699658575,0.02
55.017451778714,0.02
55.0538715348349,0.11
57.0695041887995,0.02
65.0376728610477,0.04
67.0533209864725,0.57
68.0575450155687,0.02
69.0693918817683,0.1
71.0490381128514,0.05
77.0377846769395,0.14
79.0541751386863,0.64
80.0564930641474,0.02
81.0688633710309,0.56
82.0723227874881,0.02
83.0487027497524,0.02
83.0845317690832,0.04
85.0641569084377,0.02
91.0544363471518,1
92.0571646058662,0.04
93.0695121165484,0.8
94.0724047974382,0.03
95.0846819682241,0.37
96.0885382609308,0.02
98.9841703115899,0.02
103.053360414577,0.02
105.069730862974,0.63
106.072887760879,0.03
107.085294982588,0.37
108.087909196994,0.02
109.100925791067,0.13
115.053085657757,0.05
116.061891845489,0.02
117.069204049377,0.41
118.072995489633,0.02
119.084484144463,0.52
120.089224737995,0.03
121.064343999716,0.02
121.101312116436,0.21
123.115171477032,0.03
128.060965307675,0.04
129.069444815724,0.17
130.075512583584,0.03
131.085438422816,0.58
132.088022071547,0.04
133.100869172473,0.37
134.103002642639,0.03
135.079571709029,0.04
135.115444679876,0.09
141.069646727306,0.07
142.076239213042,0.02
143.084600576569,0.16
144.091556923076,0.02
145.1003438642,0.39
146.104233310553,0.03
147.080670399254,0.02
147.116519543548,0.18
149.095306931701,0.03
149.131292188782,0.04
155.084633289704,0.06
157.100236543235,0.12
158.105729239411,0.02
159.116459096538,0.18
160.119647973203,0.02
161.095695060688,0.02
161.131388736474,0.09
163.147961519278,0.02
167.085063298463,0.03
169.100313725032,0.07
171.116652704741,0.11
173.132032573563,0.12
175.110928847323,0.02
175.147866220269,0.05
181.101673353109,0.05
183.116191931724,0.05
185.132078566962,0.08
187.111057396939,0.02
187.147527560764,0.07
195.116297404412,0.03
197.132026634258,0.03
199.112576447404,0.02
199.148207019603,0.04
201.162968970438,0.04
209.13155505795,0.03
211.146911868808,0.02
213.163628852009,0.03
215.179778090163,0.02
223.148159304273,0.02
227.179369579708,0.02
269.22540339539,0.02
