"mz","intensity"
65.040172303428,0.02
67.0186145044081,0.02
68.998370974687,0.11
77.0387707620993,0.05
79.05499611754,0.03
81.0339303015095,0.02
91.0536036228374,0.02
93.0328922499289,0.06
103.053173913826,0.02
105.033600583817,0.05
107.047845781418,0.06
109.028323035711,0.04
111.007893415862,0.06
115.053908651634,0.02
119.049228408907,0.02
121.027468499522,0.29
127.053330511397,0.02
128.060311958405,0.02
129.069650366517,0.03
133.027341393133,0.04
135.044132296366,0.02
137.021722823026,0.11
139.053607435812,0.02
141.0699486949,0.02
145.064565715513,0.02
147.042866154575,0.07
153.01726367815,0.59
157.06378912389,0.08
161.059303742449,0.02
165.018119378788,0.24
166.957540678631,0.04
171.042774413198,0.04
185.059048084418,0.06
189.054553585528,0.02
197.060363051654,0.02
203.033644420581,0.02
213.055103661762,0.16
229.048052594202,0.03
231.064887078028,0.07
241.049871353897,0.08
258.05379762289,0.11
259.060009675476,0.04
269.041884301014,0.02
287.055465042317,1
