"mz","intensity"
65.038991404199,0.05
67.042896642561,0.06
72.9858379449241,0.04
77.038498439798,0.18
78.0470906482007,0.02
79.0547111149324,0.11
80.0487283462971,0.02
89.0387353053413,0.09
90.0454204521338,0.05
91.053463385884,0.09
93.0699479843195,0.04
94.0412788805428,0.04
103.054093130527,0.11
104.048894772045,0.06
105.06882102052,0.27
106.064484351163,0.02
107.047954106206,0.04
114.701176733788,0.02
115.05369952607,1
116.048393262536,0.09
117.056562246697,0.6
122.947999053923,0.02
130.06465546081,0.17
131.049391570554,0.07
131.071997077253,0.09
132.042815739249,0.03
132.058959200986,0.03
132.079858132834,0.22
133.051278812093,0.17
140.048639841399,0.04
141.056251145401,0.05
142.064812935968,0.13
143.050158557828,0.03
143.072192563733,0.15
144.043932984397,0.03
145.052736336747,0.03
158.059324650851,0.03
159.067345598502,0.26
160.074225518808,0.26
