"mz","intensity"
41.04,0.41
43.019,0.15
43.056,0.13
53.04,0.07
55.019,0.12
55.055,0.42
57.034,0.09
57.07,0.15
59.049,0.02
65.039,0.07
67.055,0.87
69.034,0.03
69.07,0.43
71.05,0.4
77.038,0.18
79.054,0.55
81.033,0.06
81.07,1
83.049,0.16
85.065,0.15
91.054,0.81
93.069,0.39
94.041,0.02
95.049,0.43
95.085,0.16
97.065,0.05
99.045,0.04
103.054,0.04
105.069,0.9
107.049,0.04
107.085,0.18
109.064,0.63
109.1,0.21
113.06,0.06
115.054,0.02
117.069,0.03
118.077,0.02
119.085,0.14
121.101,0.03
123.078,0.03
123.115,0.04
129.07,0.02
131.084,0.1
133.065,0.03
133.1,0.43
137.059,0.03
147.115,0.05
149.095,0.02
151.111,0.11
