"mz","intensity"
39.0273223975369,0.03
45.0357667694204,0.03
51.0251263516,0.05
53.0386485325615,0.04
55.0205409978402,0.09
56.0248402283685,0.03
63.0232282084387,0.03
65.0391849676484,0.26
66.0464235540212,0.06
67.0545776457599,0.1
77.0394769345169,1
78.0467670133588,0.28
79.05345178373,0.23
80.0259330449649,0.04
80.0587432200193,0.04
81.0323718914225,0.04
81.0702554763772,0.05
89.0378020031522,0.08
90.0464211263127,0.1
91.0539582591156,1
92.0236703622903,0.03
92.058073154129,0.08
93.0326004067092,0.06
93.059737859877,0.06
93.0706382639485,0.05
94.0406924342902,0.07
95.048923651183,0.24
97.0286375141781,0.06
102.044859299893,0.04
103.053386551479,0.21
104.056066583149,0.04
105.033453067764,0.11
105.070284843594,0.07
106.040458910368,0.14
107.047424009675,0.23
108.020229233115,0.03
108.055313631382,0.08
109.063599645111,0.06
110.035207088322,0.03
115.054099879342,0.04
118.040679451731,0.1
119.048288423197,0.15
120.055417292383,0.04
121.026449749847,0.04
121.063931379774,0.14
122.034252403547,0.11
122.069812395856,0.04
123.044451175349,0.37
124.049620940175,0.08
125.020964021923,0.1
131.04702020583,0.04
133.027672764463,0.05
133.059547257654,0.04
134.03428632677,0.12
135.042216731628,0.07
136.042345154236,0.06
136.049882762241,0.07
137.058617751435,0.08
138.026481760237,0.03
140.046596159814,0.1
147.043284155322,0.05
149.020371320798,0.04
149.048194741505,0.04
151.038790034748,0.12
151.075978079091,0.03
152.044233790013,0.04
153.052069426662,0.05
165.048624365596,0.05
165.057126372925,0.04
167.069897539466,0.22
168.07086917262,0.04
180.081217621828,0.03
