"mz","intensity"
39.025738308315,0.02
41.0418618428497,0.03
43.0199531121803,0.03
43.0570907237901,0.1
55.020696246456,0.02
55.0560429082761,0.39
57.035673004041,0.02
57.07249125251,0.02
59.0503136340716,0.08
65.0393975941127,0.02
67.0543372733002,0.12
69.0698265327642,0.08
71.0499681767777,0.04
71.0857616445997,0.16
77.039237806575,0.06
79.0545996593397,0.15
81.0334817316617,0.02
81.069070874223,0.09
82.7966219199765,0.02
83.0496751516643,0.87
85.0659709083885,0.03
91.0540153207098,0.33
93.0694703741803,0.22
95.047701988743,0.03
95.0848525811245,0.06
97.0636028142061,0.05
99.080808758139,0.08
100.749619696324,0.02
101.059233965626,1
103.052963334269,0.02
105.069136892266,0.2
107.049196247845,0.04
107.08574421842,0.07
109.063306199612,0.04
109.100952203337,0.04
110.700973361029,0.02
111.044131968389,0.92
113.058496628243,0.02
115.053252722232,0.04
117.068420031024,0.16
119.048761421762,0.03
119.084192280146,0.25
121.06419758976,0.14
123.078035652501,0.03
125.0610286281,0.02
128.061182298757,0.04
129.052982742066,0.08
129.069779791607,0.15
131.08404830178,0.12
133.061906449297,0.02
133.099559342944,0.09
135.079215144078,0.04
137.095116203093,0.02
141.067944714496,0.07
142.076651708706,0.04
143.085664407682,0.13
145.063400803078,0.02
145.099070429505,0.05
147.080339142183,0.04
147.116172431949,0.04
149.094784142911,0.02
149.132782215873,0.02
155.085250205974,0.06
157.066249089055,0.02
157.099749357663,0.18
159.07929409275,0.03
159.114709776797,0.02
161.096312318676,0.03
161.132045447065,0.02
163.073734047421,0.03
167.084589668832,0.05
169.100943089595,0.05
171.114696692103,0.02
173.093164433967,0.02
173.131968175156,0.05
175.108994784965,0.02
181.085926617982,0.08
183.115425221741,0.04
185.096238818823,0.12
187.144179995027,0.02
189.162418891838,0.06
191.142736656889,0.05
193.097822757626,0.02
197.095730466976,0.02
197.129436398998,0.02
199.144850954111,0.02
199.152107369785,0.02
203.104194737695,0.04
203.110186285291,0.05
211.106764240127,0.02
215.142001050671,0.03
221.120504334961,0.02
233.1465517255,0.02
233.157480701353,0.02
253.195693813876,0.02
