"mz","intensity"
39.0261446119349,0.03
41.0421404696623,0.04
43.0562778618227,0.03
53.0424712981976,0.02
55.0552732805951,0.09
57.0714159835065,0.03
65.0393583999103,0.07
66.8503358794708,0.02
67.0546517263451,1
69.0700851347807,0.07
71.0488013957289,0.02
77.0388336403748,0.14
79.055082986341,0.22
80.822059470996,0.02
81.0707025249295,0.98
83.0487592906476,0.02
83.086653135225,0.03
85.0648830005932,0.02
91.0537461203172,0.08
93.0689395681003,0.14
95.0042562600389,0.04
95.0855899085106,0.62
97.0627357626433,0.02
97.1023387491653,0.02
105.068997530189,0.05
107.085406583435,0.07
109.065093671841,0.02
109.100530017419,0.21
117.068048465586,0.02
119.083735038184,0.04
121.027304899829,0.02
121.10084680269,0.05
122.999971066631,0.03
123.116932421318,0.06
128.060220677983,0.03
129.069868913928,0.03
131.085021393654,0.04
133.01705721133,0.03
133.098728637642,0.03
135.114190449716,0.03
137.130254483657,0.02
145.099737876196,0.03
147.115687524557,0.02
149.022801088924,0.14
154.075840217309,0.03
159.115465361633,0.02
171.033202728267,0.05
173.051331148616,0.14
183.031735660749,0.03
200.422202951112,0.03
201.045716671251,0.67
279.09172040749,0.07
279.098935887889,0.08
