"mz","intensity"
43.0213711054707,0.27
53.0395901648327,0.11
55.0188073502428,0.1
57.0346016776002,0.18
69.0338108087081,0.1
71.0123997253372,0.08
71.04809711942,0.15
80.9739734453073,0.21
81.0323692959014,0.12
85.0258928758126,0.11
97.0276078851825,0.56
98.9840381544179,1
99.0443128964723,0.41
109.028049136922,0.1
127.036191767943,0.13
136.927451868276,0.11
138.909729662406,0.17
154.905812247185,0.2
166.903384255063,0.09
166.907325152423,0.17
178.898421635442,0.11
182.899348690211,0.32
196.916962403955,0.16
214.861791192319,0.12
216.860886949074,0.34
234.873771227532,0.18
