"mz","intensity"
55.0572258346164,0.15
57.0698636661445,0.18
67.0553420443244,0.26
69.0708128945448,0.3
71.0842923399681,0.19
79.0535901055448,0.25
81.0689103850137,0.87
83.086553445458,0.28
91.0538494920962,0.22
93.0688364696177,0.58
95.0844301447263,1
97.1019492539438,0.21
105.068396118162,0.45
107.084414491738,0.95
109.100916642591,0.85
111.115400763009,0.18
117.070713453322,0.15
119.08418822034,0.32
121.100542336274,0.82
123.114887180005,0.49
131.083088771079,0.18
133.09990540864,0.45
135.115862319477,0.79
137.127148540219,0.14
145.09882056971,0.28
147.115844727192,0.73
149.13066537376,0.42
157.100108254825,0.15
159.115600988274,0.41
161.132609757639,0.73
163.145194979092,0.26
171.116728485424,0.16
173.128847083342,0.3
175.146362104419,0.56
177.161331549935,0.15
179.177632184904,0.17
185.125351706956,0.13
187.145845603306,0.35
189.160224814483,0.28
191.178356653683,0.22
199.144934309144,0.22
201.162583572428,0.41
203.178514859237,0.83
205.194010207754,0.25
205.200610504445,0.25
213.163229845136,0.3
213.167916931275,0.39
215.177012119477,0.18
219.209218904814,0.14
227.179519294098,0.19
229.188920503562,0.13
241.188179291707,0.15
255.199173461777,0.25
255.21047000509,0.28
257.228937765119,0.26
259.237395469847,0.13
259.244788668869,0.18
269.23241698357,0.14
283.240640030879,0.2
285.257482483862,0.26
367.331453574978,0.41
367.341238012534,0.39
385.079592429274,0.11
385.338171001257,0.17
385.348129006011,0.15
385.362182541517,0.19
