"mz","intensity"
43.0561352308822,0.03
57.0700644943345,0.09
67.0549434485619,0.02
69.0705038588469,0.04
71.0862624188314,0.1
81.070697752595,0.05
83.0848305240132,0.03
85.1013676166791,0.06
95.0850487856363,0.06
97.0997982535459,0.03
105.032938749952,0.04
109.099345371434,0.03
123.11531919156,0.02
131.08515635775,0.03
133.027189958622,0.02
141.068880237639,0.02
143.084936162968,0.02
147.041918965172,0.03
155.084391761495,0.02
157.063545997204,0.04
159.042523789473,0.02
159.079885440339,0.05
161.059313246969,0.03
167.084983285351,0.02
171.080248164463,0.14
173.060044876485,0.03
181.063517542154,0.02
181.101383663301,0.04
183.079363844636,0.03
185.05919190684,0.02
185.094880246189,0.16
187.074898861116,1
195.079060194907,0.04
195.114671116058,0.03
197.095944008702,0.14
198.065660234451,0.02
199.075422826109,0.17
201.090696837687,0.02
208.085993123408,0.03
209.096548446925,0.08
211.112560330172,0.08
212.082308525803,0.02
213.091061765786,0.14
222.098862281285,0.02
222.105171633453,0.02
223.111277892694,0.09
225.091911052058,0.02
225.125902935159,0.04
226.098297760096,0.02
227.10503369276,0.12
237.128165229948,0.05
239.14176671823,0.02
241.122315765798,0.06
251.142895462741,0.02
255.138066358916,0.03
269.151418578342,0.02
297.182878728201,0.02
433.344125095727,0.03
433.352828987951,0.02
436.330782502307,0.04
451.351413659056,0.04
451.361402953374,0.04
