"mz","intensity"
55.0562142314452,0.16
67.0564555432692,0.47
68.0593969544507,0.26
73.0458528284135,0.21
81.0711901542139,1
82.0764414077335,0.37
91.0534638099367,0.26
93.0701755434008,0.37
94.0731323385316,0.21
95.0883421253395,0.58
96.0868745573308,0.21
105.069641332127,0.16
106.072643269871,0.16
107.080409855135,0.16
108.050412767312,0.16
109.104342954154,0.26
110.108612229708,0.16
117.06881510541,0.16
118.072220330936,0.16
119.084525515655,0.21
120.087238526599,0.26
121.103469567468,0.21
122.07098476327,0.16
123.115904779074,0.16
131.082636738899,0.26
133.106018250118,0.21
134.107183712322,0.16
135.115379718822,0.26
144.086292110839,0.16
145.093871627465,0.16
147.119562706385,0.26
148.123939005886,0.21
150.101460031152,0.16
158.10719660475,0.16
159.112750666133,0.16
160.121492236748,0.16
162.132371536395,0.16
173.127757024956,0.16
174.135239216232,0.16
178.130377853036,0.21
266.99505034895,0.16
