"mz","intensity"
43.0204718988944,0.07
55.0533835190537,0.05
67.0543790979129,0.14
69.0700085115928,0.06
71.0490995154938,0.19
77.0402061929486,0.06
79.05459244745,0.19
81.0705513254808,0.58
83.0847799337294,0.07
85.0647453841163,0.15
91.0552747406141,0.21
93.0697184913988,0.26
95.0849460067843,0.35
97.1009439637384,0.05
99.0809105753404,0.06
105.069121851063,0.36
107.085666101295,0.36
109.100645690312,0.17
117.06924103186,0.2
119.084082912811,0.31
121.100836771979,0.21
123.116701942659,0.11
128.060271426206,0.05
129.067961921677,0.13
131.085178859728,0.33
133.10041292457,0.71
135.116498702304,0.19
137.132597758288,0.05
141.069775549051,0.05
142.074725318388,0.09
143.083782569299,0.22
144.092439228732,0.06
145.101704376375,0.62
147.115812745182,0.37
149.131221061951,0.25
155.082740983757,0.09
156.093026847047,0.06
157.100923756683,0.79
159.117731388072,1
161.131405344893,0.28
163.148426093576,0.09
169.097497742989,0.11
171.115965903053,0.17
173.132818618827,0.26
175.147016513552,0.26
183.117661591001,0.17
185.131653641446,0.24
187.146778470734,0.16
189.161037100012,0.05
196.127847282022,0.06
197.13258204565,0.14
199.147750170421,0.26
200.150664768396,0.06
200.161562687345,0.06
201.159448819885,0.12
201.165624550553,0.12
211.14790515096,0.25
213.161047255247,0.1
215.176788787105,0.1
215.183330715545,0.13
225.163253958839,0.2
227.176083203241,0.07
229.195556645966,0.06
238.170600650443,0.06
239.175960103536,0.14
239.182718104193,0.13
241.194494873926,0.12
253.193946599511,0.05
255.20503092317,0.24
255.213904994731,0.24
281.229198448704,0.4
299.230108359651,0.11
299.23778954782,0.11
