"mz","intensity"
39.0262326921163,0.02
41.0420650679981,0.03
43.0201221643125,0.05
55.0560891912104,0.08
65.0390408101907,0.03
67.0557200563436,0.26
69.0707628851134,0.08
71.050102429372,0.03
77.0380956481191,0.13
79.0547031315226,0.42
81.0702740406679,0.69
83.0484184623794,0.03
83.0856121874119,0.05
90.7768126458724,0.02
91.053934724998,0.84
93.0692346882615,0.46
95.0847160714286,0.25
97.0647297365706,0.13
103.053971313502,0.04
105.069956802132,0.88
107.085256800992,0.27
109.063635167669,0.02
109.100431008173,0.09
115.052984688454,0.12
116.061322883724,0.04
117.069411846806,0.47
119.085137395078,0.4
121.065179811568,0.02
121.099620525993,0.18
123.079801229862,0.03
123.11661682086,0.02
127.052980500444,0.03
128.061336979596,0.18
129.069298230898,0.43
130.077383653822,0.12
131.085157588255,0.66
132.090097373956,0.02
133.101714343179,0.8
135.116113358526,0.15
141.068712650824,0.21
142.077287147839,0.28
143.084777121723,0.54
144.09225098227,0.08
145.101389836281,1
146.071650594902,0.02
147.116879978925,0.33
149.131668378738,0.02
151.110115082012,0.02
153.068650572116,0.05
154.077401727941,0.06
155.085832657861,0.38
156.092221571939,0.14
156.614446259058,0.02
157.100528985699,0.95
158.109803271298,0.03
159.117101228716,0.61
161.096681012479,0.02
161.130848082321,0.04
163.110154682337,0.05
165.069027574449,0.02
166.078169982301,0.02
167.084990494693,0.11
168.092965067504,0.11
169.100538682272,0.43
170.108110732338,0.05
171.116886124831,0.67
172.121338744035,0.03
172.125804500166,0.03
173.132450325236,0.19
175.111438107642,0.02
181.100547689911,0.08
182.109076343113,0.2
183.115950142297,0.55
184.124871101343,0.07
185.133106156692,0.27
186.140274117272,0.02
187.148055635515,0.05
195.116334147578,0.06
196.122703413137,0.09
196.126474544342,0.09
197.132017615566,0.65
198.140787380351,0.11
199.147078939451,0.04
201.161216537687,0.02
209.131700591129,0.07
210.140018890105,0.03
211.147397338401,0.23
212.153475546466,0.02
213.165131246244,0.63
215.144867144481,0.02
223.147384992086,0.09
224.155648908991,0.04
225.165970309943,0.18
229.159383860167,0.02
231.173126243318,0.02
238.170009808965,0.08
253.195542087333,0.15
271.212063962354,0.02
