"mz","intensity"
39.0264985363972,0.03
41.0415136775107,0.06
43.0199214490623,0.03
43.0565316347439,0.04
55.0554747048868,0.11
57.0717665232378,0.06
65.0397775623143,0.02
67.055065014498,0.21
69.0340622921353,0.03
69.0705424060805,0.23
71.0492897379906,0.02
77.0392060127371,0.1
79.0542142298122,0.21
80.8235987963004,0.02
81.0700052531509,0.9
83.0491019856834,0.02
83.086360767857,0.06
85.0640697582022,0.02
91.0541439428117,0.33
93.0695256065979,0.21
95.0490932421746,0.02
95.0859538029624,0.3
97.0658193550901,0.02
103.05371555035,0.03
105.069590151253,0.62
106.07674998138,0.02
107.05019064604,0.02
107.085921399003,0.22
108.093307493761,0.02
109.064962769582,0.03
109.099697049716,0.18
111.044069371143,0.03
111.08117634874,0.02
111.11548670362,0.02
115.054348971903,0.08
116.061371410424,0.04
117.069458483771,0.18
118.077279199888,0.02
119.049651735312,0.02
119.085153781557,0.42
120.09236442527,0.02
120.953464882706,0.02
121.064996328731,0.13
121.100694177729,0.13
123.081037094795,0.03
123.116198237456,1
125.058333778927,0.02
127.053821223731,0.02
128.060829573015,0.09
129.069709247928,0.17
130.078070837736,0.09
131.048542801346,0.02
131.085538470074,0.47
132.093620390895,0.03
133.063486621133,0.03
133.100831878723,0.39
134.106937993218,0.02
135.080407907931,0.06
135.116607032733,0.03
138.962382569198,0.03
141.070294080275,0.07
142.077553784283,0.1
143.086194979573,0.2
144.056422022425,0.02
144.093662098614,0.19
145.063980675917,0.05
145.101354215155,0.49
146.071581026412,0.09
146.10741797422,0.05
147.079120792616,0.03
147.116498571606,0.11
149.095868910324,0.03
153.069729604687,0.02
154.07683766122,0.02
155.085208791888,0.06
156.093380279645,0.09
156.972210625012,0.02
157.064172914813,0.03
157.074657770657,0.02
157.101299190048,0.23
158.071694740479,0.09
158.108705544151,0.05
159.078828314962,0.08
159.117745893464,0.66
160.087144400782,0.02
160.123188100782,0.02
161.095614268102,0.29
161.131472151398,0.2
163.111439298554,0.02
165.069123224999,0.02
166.07571009766,0.02
167.083453454335,0.02
169.064675084315,0.02
169.100693809289,0.04
170.072321803923,0.02
170.107132895877,0.05
171.078321108936,0.07
171.116788721199,0.15
172.088691795208,0.12
172.124222429415,0.03
173.09498135818,0.07
173.133919835041,0.12
175.110874144962,0.03
175.14634163518,0.05
177.089570641399,0.02
179.086603042782,0.02
179.098784940332,0.02
180.092281848721,0.02
181.100943997065,0.02
183.07862426611,0.03
183.084211298626,0.02
183.115732993857,0.02
184.087685889552,0.04
184.122137043873,0.02
184.129725112871,0.02
185.097418432038,0.13
185.133907533454,0.08
186.102824470417,0.03
186.139150447966,0.02
187.110599230168,0.06
187.149022922882,0.2
191.104456933701,0.02
195.115067738058,0.02
197.094356501567,0.02
198.105519299413,0.04
199.111502739364,0.06
199.147151341938,0.07
201.124544761196,0.02
201.164921415897,0.09
202.166130467137,0.03
202.172189798535,0.03
205.122270962426,0.02
209.131628227904,0.02
212.11940618281,0.02
213.127110662554,0.03
213.160278727561,0.02
227.141812961089,0.03
255.213495833876,0.02
