"mz","intensity"
43.0199757211077,0.03
67.0545549342712,0.05
71.0481223994491,0.03
77.0382660416716,0.06
79.0536089015519,0.09
81.0693037859333,0.11
91.0529506676062,0.11
93.069363251931,0.07
95.0847297839364,0.03
103.054296979813,0.04
105.068979951482,0.25
107.047630121337,0.09
107.084081160186,0.05
109.100256751699,0.02
115.052925058135,0.09
116.061196216997,0.03
117.069593085208,0.03
121.063881406087,0.04
127.053014431009,0.05
128.059865644653,0.05
129.069211197818,0.06
131.047839962732,0.04
131.083513074576,0.16
132.055907738333,0.02
132.65321233207,0.02
133.062962085883,1
141.068591641948,0.18
144.056494315512,0.22
145.063976274752,0.18
147.079233352892,0.04
153.066870497584,0.03
155.084178657813,0.03
156.575553014341,0.02
157.063264507831,0.78
158.072390275963,0.02
159.079681526847,0.78
165.068724677495,0.07
167.084806558278,0.04
169.068130902857,0.03
169.07569757841,0.03
169.100470734613,0.02
170.070599416181,0.02
171.078233746714,0.08
172.085251572039,0.02
173.095065130079,0.03
178.078345698212,0.02
179.085348752409,0.1
181.063177823337,0.05
182.070963359892,0.07
183.079187851624,0.13
184.086568946761,0.02
185.094651255865,0.08
193.10150713228,0.02
195.080947956225,0.02
196.086699575862,0.03
197.095601963751,0.22
198.103110061978,0.11
209.096108871175,0.03
210.098902349639,0.02
211.110521320871,0.08
212.117821238593,0.02
212.122094563122,0.02
213.125915186055,0.07
225.125527544522,0.02
253.158528179608,0.04
