"mz","intensity"
43.028,0.03
44.046,0.02
45.035,0.03
45.046,0.03
55.031,0.04
55.054,0.07
56.051,0.03
57.034,0.1
60.054,0.04
69.009,0.03
69.045,0.03
72.058,0.04
79.028,0.02
80.976,0.02
81.044,0.05
82.045,0.03
82.064,0.04
83.048,0.1
83.07,0.03
86.034,0.11
86.063,0.03
93.044,0.07
94.04,0.02
95.049,0.04
96.054,0.16
97.052,0.08
98.036,0.03
98.056,0.03
107.023,0.29
108.056,0.02
109.037,0.06
109.065,0.04
110.033,0.07
110.067,0.03
111.065,0.04
112.059,0.14
113.047,0.06
119.059,0.07
120.04,0.04
120.058,0.02
121.039,0.03
121.049,0.1
121.077,0.04
122.056,0.03
123.029,0.05
124.049,0.15
125.046,0.1
125.077,0.02
126.051,0.04
127.044,0.02
127.063,0.06
128.064,0.02
135.028,0.03
135.047,0.03
137.043,0.07
138.058,0.02
138.074,0.1
138.09,0.02
139.061,0.04
140.055,0.11
140.087,0.03
141.061,0.13
141.089,0.03
142.071,0.19
147.057,0.03
148.059,0.1
149.045,0.31
152.056,0.17
153.057,0.02
161.082,0.04
163.059,0.05
163.087,0.02
164.049,0.04
164.061,0.04
164.084,0.03
165.062,0.22
166.07,1
167.073,0.08
167.102,0.02
168.089,0.05
178.066,0.03
179.078,0.06
180.088,0.1
181.09,0.03
189.077,0.06
191.078,0.04
196.076,0.03
206.102,0.04
