"mz","intensity"
29.0022213413235,0.02
29.0128270996315,0.02
31.0167021222073,0.03
39.0214548909495,0.03
41.037443210985,0.11
43.016656144576,0.26
45.0330607696807,1
53.0373974519267,0.09
55.0165600486555,0.02
56.9629402543516,0.02
57.0319035309462,0.06
59.0478375573559,0.05
62.9610409046561,0.02
71.0480566990242,0.07
73.0262078253863,0.53
74.0567762607376,0.02
80.9713514302211,0.17
84.9587329925445,0.05
87.0426386493956,0.04
96.9243645678628,0.05
98.0430221749392,0.02
98.9808040078258,0.28
98.9823712578119,0.2
102.922771398436,0.02
118.916954392982,0.16
136.926446265981,0.07
140.915219868121,0.04
174.873894472553,0.03
