"mz","intensity"
37.0123639654991,0.06
38.0200263051548,0.05
39.0268085984832,0.29
41.0411317517046,0.03
43.0209648024792,0.03
53.0420400630236,0.02
55.0194020988805,0.04
55.0550906816921,0.06
60.9867754197793,0.03
63.0238528866217,0.02
64.0301787307032,0.03
64.8420905877902,0.04
65.0387045680648,1
68.9965493307335,0.03
69.0345555900027,0.03
77.0378411836983,0.03
79.0548351840717,0.03
81.0324762198124,0.04
82.0394491224763,0.05
93.0334506921899,0.16
94.0404765422698,0.05
110.03336142361,0.07
111.043472842259,0.04
