"mz","intensity"
55.0556691544545,0.03
67.0544221916992,0.08
69.070278641888,0.05
76.039985023591,0.63
77.0392250308364,0.03
79.0540044852025,0.09
81.0701776181656,0.26
83.0491376440122,0.02
83.0859831184096,0.08
85.0645447249478,0.09
91.0545214906453,0.08
93.0695124912005,0.19
95.0850270502419,0.27
97.0645467074425,0.02
97.100364008136,0.04
99.0796709984826,0.02
105.069304024359,0.19
107.084996318856,0.36
109.065479343153,0.02
109.100839503307,0.27
111.07989102841,0.04
112.07509653896,0.04
114.05373168271,0.02
117.068513134233,0.04
119.084215972544,0.25
121.064454462456,0.02
121.100301631242,0.31
123.079663027632,0.07
123.115660900358,0.08
125.095171306524,0.08
126.08992786674,0.02
129.0694399076,0.02
130.048537532886,0.02
131.084400460668,0.12
133.100254246147,0.29
135.080058470352,0.05
135.116758548437,0.43
137.094298330934,0.06
137.13086625361,0.02
138.089825016992,0.03
139.111268492076,0.02
142.049103199741,0.02
143.086539241419,0.07
145.100779011866,0.2
147.081326897668,0.02
147.116872438864,0.36
149.095133197073,0.09
149.131831049441,0.3
151.111770504381,0.05
152.10677445598,0.03
155.086306519547,0.04
156.064430905304,0.05
157.102028155708,0.1
158.080663901211,0.36
159.079340325711,0.02
159.116107876833,0.31
161.097356720753,0.03
161.132440879236,0.37
163.110444401037,0.09
163.148280716101,0.14
165.125748944709,0.02
166.120429592527,0.02
169.100831917904,0.09
171.117299992337,0.1
172.095468184971,0.05
173.095545609731,0.03
173.132747517462,0.19
175.111181284178,0.08
175.148517811967,0.24
177.125871993939,0.22
177.163288984183,0.06
183.115540751207,0.08
184.09668656419,0.05
185.133383720187,0.17
186.111245220974,0.03
187.111750383119,0.05
187.147965841927,0.23
189.127727836034,0.11
189.162562034857,0.14
191.141346865009,0.11
195.113766510924,0.02
196.099326373774,0.02
196.124506391517,0.02
197.133307843911,0.1
198.110858869586,0.05
199.147170560686,0.2
200.126476875405,0.02
201.12863698753,0.03
201.134320918206,0.02
201.16465208241,0.33
203.142606633487,0.17
203.180780151009,0.13
205.156151448604,0.05
209.13124299629,0.02
210.112427950245,0.05
210.142667287685,0.02
211.14825668223,0.44
212.127701999724,0.06
213.163398489546,0.24
215.142858207967,0.05
215.178558852699,0.55
217.15927826155,0.12
217.194355121107,0.07
219.1725858946,0.03
219.175893207564,0.04
223.149006046718,0.02
224.129561706364,0.06
225.164165497484,0.27
226.14005385901,0.03
226.145238973854,0.03
227.179857089991,0.21
229.158756111632,0.32
229.194737805507,0.18
231.17381981866,0.15
237.163026253442,0.03
238.143960675308,0.05
239.179177073665,0.19
240.159742508427,0.02
241.192558032119,0.12
241.198967277946,0.12
243.17506482035,0.19
243.210144390442,0.14
245.190119670136,0.1
250.1418182626,0.04
251.178812115619,0.05
252.158931463326,0.09
253.193328373165,0.04
255.170480986509,0.02
255.208739462962,0.03
255.21506626415,0.03
257.190413135194,0.13
259.203845657835,0.02
264.158978524923,0.03
265.1946985726,0.09
266.174406747031,0.06
267.205352065435,0.02
267.212520217998,0.02
269.186049055129,0.02
269.192852909987,0.02
271.206362797337,0.02
278.171482147146,0.07
278.181537952748,0.07
279.207833518619,0.06
279.214406867224,0.06
280.190154531554,0.03
280.195403498021,0.03
281.218564737047,0.04
281.226182085915,0.03
283.20446092858,0.04
292.188991746014,0.05
293.224364987236,0.02
294.201214828107,0.02
295.24226094019,0.09
297.22143201775,0.11
297.25812669105,0.11
304.187392857598,0.09
306.207258621242,0.07
308.219290664974,0.02
311.235711551995,0.02
311.272204950197,0.06
311.279383478459,0.05
318.202179909462,0.07
318.209678831469,0.06
320.223232586986,0.05
321.257045088505,0.93
332.223517515814,0.06
339.267360891103,1
357.280326685442,0.02
358.232903033487,0.02
368.288392143351,0.02
368.296365639735,0.02
396.285572768168,0.03
414.301681052938,0.66
