"mz","intensity"
77.0386820385123,0.04
78.0473143817692,0.03
89.0391405737186,0.02
91.053656754525,0.05
103.053081804475,0.05
104.049154207806,0.02
104.060729838232,0.03
105.0560294505,0.06
115.053892756156,0.12
116.049998012446,0.02
116.061451953886,0.02
117.056787109478,0.04
117.070481602943,0.03
130.064871378378,1
131.072321226208,0.79
132.044971451594,0.03
132.057599870265,0.02
141.057407573186,0.02
142.065187671284,0.06
143.07237410934,0.32
144.079722333526,0.03
147.066629522035,0.02
147.079283548133,0.02
158.05881556573,0.06
159.06764316384,0.51
173.083743651118,0.02
174.090933585143,0.09
