"mz","intensity"
39.0263295265632,0.04
41.0414485741389,0.06
43.0202667922113,0.02
43.0572765083642,0.03
44.0151576143043,0.06
44.9813599023199,0.07
45.9907007696526,0.02
46.9967674491553,0.04
51.0239825167212,0.02
53.0401372357642,0.05
55.0200087202364,0.07
55.05544983453,0.27
56.0501277802664,0.03
58.9961169424033,0.13
59.0379290444074,0.06
61.0111140096841,0.09
64.9521804444347,0.02
65.0386083622122,0.09
66.0480402655395,0.02
67.0547774872581,0.56
69.0694019152044,0.05
70.0657516498339,0.02
70.9945480546398,0.05
72.003535662865,0.02
72.0454143003051,0.03
73.0113249312646,0.15
77.0391736978437,0.57
78.0465735579813,0.06
78.9666087242633,0.19
79.0542234449414,0.53
80.0632433704548,0.03
81.0331717176299,0.03
81.069843058404,0.61
83.0853203361087,0.02
84.044456564958,0.02
84.7495300579006,0.02
85.0106091053787,0.42
86.0170557369943,0.02
86.0595598364525,0.03
87.0253308399199,0.14
91.0541289203646,0.55
92.9838288268118,0.04
93.0695411807828,0.8
95.0489365536808,0.03
95.0846946536009,0.42
97.0103475268678,0.08
98.0607421329263,0.03
98.0958417120694,0.12
99.0254867562031,0.13
100.731274225462,0.02
101.041611792973,1
102.966174022479,0.04
103.052345486221,0.07
104.060025001401,0.03
104.982631532429,0.61
105.069508829083,0.16
106.075461363631,0.09
107.084444083124,0.03
109.009690964325,0.05
110.016449155959,0.13
111.025673501617,0.1
112.033449863795,0.02
113.035996835143,0.06
113.04059796253,0.06
115.056157086368,0.08
118.99750325209,0.07
121.063761709848,0.02
123.025520420463,0.03
123.080252498956,0.08
125.039732981682,0.02
127.020715350428,0.02
127.056892077868,0.65
128.980417585218,0.02
135.024197354576,0.08
137.041246563978,0.12
138.04777127486,0.11
142.997015189437,0.02
145.013384987041,0.03
147.02944032954,0.04
161.043706764322,0.09
171.028522173975,0.03
