"mz","intensity"
55.0200821633912,0.04
65.0382692275074,0.04
67.0556817380785,0.07
77.0382478179398,0.09
79.0536468844258,0.08
80.0500949299909,0.05
82.0655881461057,0.06
91.0566532848362,0.11
92.0490241670922,0.07
93.0574088373128,0.08
94.0643837662437,0.56
106.064728550342,0.37
107.057405853358,0.05
107.072520509222,0.1
108.045362288547,0.04
108.066790789961,0.1
108.077742355762,0.06
109.066119991342,0.05
110.058549727233,0.11
118.062479078977,0.17
119.057764267283,0.05
120.080438495091,0.08
121.075725855448,0.09
122.057972427365,1
133.072856432996,0.05
134.058259103011,0.06
136.07328628938,0.09
140.070526373318,0.14
146.058483049774,0.04
148.072679733375,0.08
149.070767101675,0.08
150.054227982278,0.18
152.073288927148,0.05
164.069894426197,0.07
166.08658634789,0.07
182.076908540541,0.07
