"mz","intensity"
67.0551928294834,0.05
79.0545796252669,0.05
81.0690128514008,0.1
83.0868431742444,0.05
85.0657240113356,0.09
91.0532502501653,0.05
93.0690098440934,0.08
95.0848209661296,0.1
105.068561977007,0.08
107.082174001232,0.16
108.008112588798,0.06
109.100096645166,0.1
119.084132030802,0.11
121.099817663153,0.14
123.113549365149,0.06
125.093745420048,0.06
126.021401858756,1
131.084672246959,0.06
133.101152929354,0.13
135.11528284629,0.18
137.094993211337,0.06
143.085369984223,0.05
145.100299941527,0.09
147.114038571024,0.17
149.093209676321,0.05
149.131091854256,0.23
151.11004035978,0.04
157.101674852382,0.07
159.116573153244,0.13
161.1302260106,0.26
163.109656756858,0.14
163.145785213427,0.1
171.116057923822,0.05
173.131269793737,0.08
175.111637886237,0.07
175.147231277827,0.27
177.12615124513,0.17
177.169173113753,0.06
185.132717921909,0.12
187.146093642721,0.09
189.124258026136,0.09
189.162326820351,0.17
191.143275115707,0.07
197.132577834133,0.06
199.145073271598,0.08
199.150394292621,0.08
201.163737800101,0.55
203.141139313162,0.06
203.177543431599,0.09
206.048579654937,0.05
208.062205112665,0.45
211.146036016874,0.12
213.161496175624,0.1
215.178397523386,0.43
217.157937178168,0.07
217.190946349207,0.06
222.075560618918,0.06
222.079570130709,0.08
225.163871070864,0.07
227.178779986663,0.06
227.185223647681,0.09
229.153947904806,0.11
229.158554195877,0.12
229.187826118115,0.1
229.194447923448,0.1
231.173391161213,0.06
234.075485860405,0.05
236.096498362848,0.06
239.175756440753,0.08
241.189047798569,0.06
243.173545055208,0.08
243.182253851228,0.08
243.197795193758,0.06
243.207625552626,0.13
245.190177114838,0.04
248.094666740909,0.06
251.178908112521,0.06
253.197626194066,0.05
255.205974598292,0.06
257.18822752436,0.11
260.089866424013,0.05
262.106861614972,0.11
265.194516576527,0.06
274.107039374645,0.06
274.116613640788,0.06
276.1241041504,0.08
279.209958839523,0.06
286.120581118206,0.06
288.121710975673,0.12
288.128410469816,0.12
290.140731353991,0.05
290.148220286247,0.06
297.225848452219,0.03
297.256403562904,0.07
300.114744296874,0.06
300.128273972717,0.1
300.13660911845,0.08
302.136971332085,0.13
302.144054592529,0.13
311.264193841859,0.05
311.279092355189,0.07
314.13566647346,0.08
314.145554483008,0.12
316.156492693981,0.07
316.166412374943,0.08
321.258011615175,0.36
328.146286094778,0.06
328.159431078351,0.07
330.168169453614,0.05
330.177043089929,0.06
339.266191523333,0.6
342.175959221221,0.06
354.168568048579,0.09
354.177566202834,0.1
356.187173856256,0.05
356.194308758969,0.08
368.183837746744,0.06
368.19237637551,0.07
370.206073057437,0.04
382.201626741897,0.12
382.213643235592,0.1
446.277548358499,0.04
464.279711750747,0.92
464.28406847748,0.94
