"mz","intensity"
41.04,0.05
43.019,0.33
43.054,0.08
45.035,0.04
53.039,0.07
55.019,0.27
56.051,0.05
57.034,0.25
59.05,1
60.044,0.03
61.029,0.06
68.051,0.03
69.034,0.17
70.065,0.03
71.013,0.13
71.049,0.07
72.045,0.03
73.029,0.09
79.054,0.05
79.981,0.04
80.05,0.04
81.034,0.3
82.066,0.03
83.049,0.06
84.044,0.1
85.028,0.13
94.065,0.03
95.049,0.14
96.044,0.06
96.08,0.03
97.028,0.23
97.062,0.06
98.023,0.04
98.059,0.06
99.007,0.25
99.043,0.17
101.023,0.05
107.048,0.04
109.028,0.15
109.065,0.04
112.039,0.04
112.075,0.06
113.059,0.06
114.054,0.05
121.064,0.03
123.043,0.04
124.074,0.08
125.058,0.05
126.054,0.14
127.038,0.36
140,0.03
148.989,0.05
149.059,0.04
164.983,0.04
167.069,0.08
184.095,0.1
185.079,0.05
188.984,0.13
206.008,0.03
