"mz","intensity"
43.02,0.03
55.02,0.09
65.041,0.05
67.057,0.06
69,0.07
69.036,0.02
77.042,0.03
83.053,0.04
84.963,0.02
85.031,0.02
91.057,0.04
93.037,0.05
95.052,0.05
105.074,0.02
107.053,0.02
111.048,0.07
115.059,0.04
119.052,0.14
121.033,0.02
123.047,0.89
124.051,0.08
127.043,0.04
131.053,0.02
133.067,0.03
135.047,0.02
137.026,0.04
137.064,0.03
139.043,1
140.046,0.1
143.053,0.08
147.048,0.28
148.053,0.05
151.045,0.02
151.077,0.02
153.06,0.02
159.049,0.02
161.065,0.19
162.068,0.03
163.043,0.03
165.059,0.05
177.06,0.03
179.077,0.05
189.06,0.06
207.071,0.04
