"mz","intensity"
77.0382172272467,0.05
79.0182618383292,0.02
105.032084145022,0.09
107.011747536746,0.05
109.027698902053,0.02
115.053926867184,0.06
119.010223505358,0.02
127.0529994866,0.11
128.06129092747,0.39
129.069106010373,0.68
135.007258408801,0.02
137.021769919025,0.06
138.626700735236,0.02
139.053832983899,0.77
141.07056738727,0.03
143.04782744556,0.03
149.022924452299,0.02
155.056884423477,0.02
157.064157532001,1
163.002182361003,0.02
167.049605809052,0.37
168.055756742199,0.02
184.052064206915,0.03
185.05987340414,0.31
195.043496672131,0.16
212.044805802628,0.02
212.052019689117,0.02
213.052510404758,0.18
241.049467975391,0.16
