"mz","intensity"
43.018,0.34
55.055,0.11
67.054,0.15
69.072,0.09
71.049,0.29
79.053,0.33
79.071,0.07
81.069,0.67
83.081,0.18
91.053,0.38
93.069,0.84
94.075,0.05
95.084,0.75
97.062,0.07
99.08,0.33
105.07,0.53
106.071,0.08
107.084,0.95
108.089,0.06
109.1,0.23
111.076,0.05
117.069,0.17
119.085,0.65
120.086,0.07
121.101,0.37
121.136,0.09
122.107,0.06
123.085,0.06
123.114,0.08
129.068,0.05
130.076,0.05
131.085,0.54
133.099,0.65
134.104,0.07
135.115,0.35
136.119,0.1
143.083,0.11
145.099,0.55
146.101,0.07
147.116,0.57
148.122,0.05
149.132,0.07
157.1,0.19
159.113,1
160.12,0.08
161.131,0.4
162.133,0.07
171.115,0.26
172.124,0.09
173.131,0.7
174.132,0.14
175.151,0.05
176.149,0.06
185.129,0.21
186.134,0.09
187.146,0.19
189.163,0.13
199.148,0.24
199.174,0.05
200.15,0.2
201.161,0.16
203.176,0.08
213.159,0.16
214.164,0.09
215.18,0.37
216.181,0.13
227.171,0.05
255.207,0.27
255.235,0.06
256.215,0.05
