"mz","intensity"
55.0186632451767,0.25
55.0605254299932,0.25
67.0531273055738,0.42
69.0746120095665,0.25
71.0107627764956,0.25
71.0844836966004,0.34
77.0392032239079,0.25
79.0530773848021,0.67
80.0596603718565,0.25
81.0688008320731,1
82.0714813657575,0.25
83.049468225326,0.34
91.0549699680469,0.67
92.055158958428,0.34
93.0676155828161,0.42
94.0760315272001,0.25
95.0486178652143,0.34
95.084379008116,0.34
105.065475466855,0.75
106.074269009016,0.42
107.047011837304,0.25
107.086422641861,0.42
109.063264618103,0.25
117.067470469386,0.5
118.072402792137,0.5
119.084708763931,0.42
120.088968426543,0.5
121.066399702615,0.34
121.103654375726,0.25
122.107020430781,0.25
123.076963169897,0.42
129.062122002388,0.42
130.073731205696,0.25
131.082829076621,0.5
132.094204758059,0.5
133.070409284815,0.42
133.098074658039,0.34
134.064907559252,0.34
135.0795029799,0.34
136.083112265327,0.25
142.075139570496,0.25
143.084111706599,0.34
144.084800546425,0.42
145.066887860171,0.58
145.104269564507,0.34
146.064244770628,0.34
147.078704516062,0.42
148.079508340449,0.25
148.120709859189,0.25
155.087030162245,0.34
156.088236377081,0.25
157.099736385656,0.34
159.07737646693,0.67
160.082436408524,0.84
160.121705011368,0.34
169.094255803397,0.34
170.100988688009,0.34
172.127119929261,0.25
173.094569666053,0.25
183.114747541249,0.34
184.080016944706,0.25
184.124040125392,0.25
185.08620504285,0.25
186.100908779097,0.25
187.1068085604,0.25
188.146377632601,0.25
192.147642744729,0.25
198.140105974947,0.25
204.139921839647,0.25
212.115173780854,0.34
215.137790587434,0.34
216.14455095132,0.5
246.192444297533,0.25
282.185826973809,0.25
