"mz","intensity"
39.0269642126356,0.08
41.0412169783316,0.23
42.0358209296884,0.02
43.0199399305808,0.03
43.0570750989961,0.22
44.0521812500144,0.04
46.0306755245134,0.02
53.0404565643589,0.04
55.0195451049842,0.02
55.0561368829485,1
56.0507725998182,0.87
57.0350215495958,0.05
57.0722413104335,0.36
58.0300437551358,0.11
60.0458929532751,0.14
65.0400951129933,0.08
67.0428042234688,0.08
67.0545060450446,0.97
68.0504269518111,0.14
69.0336884125327,0.04
69.0711153092485,0.77
70.0662823544691,0.13
71.0499429898915,0.04
71.0865317090789,0.17
72.0440184310993,0.07
74.0605774951317,0.04
77.0387130474976,0.24
79.0549984486793,0.7
80.0499781932219,0.09
81.0695755787213,0.75
82.0655840431757,0.55
83.0487178588013,0.14
83.085919555808,0.46
84.0815152724755,0.05
85.0653389502797,0.02
85.1011625684203,0.08
86.0603433695465,0.16
91.0536565687794,0.2
93.0688890392119,0.47
94.0648135237957,0.05
95.0854910415203,0.6
96.0798426516038,0.24
97.0650406870278,0.07
97.1001714702285,0.19
98.0964656294016,0.02
100.074880229469,0.05
105.068910449639,0.04
106.064486780855,0.02
107.085170568779,0.18
108.080163697412,0.03
108.083204202218,0.03
109.10044925146,0.15
110.095695563625,0.06
111.079197986714,0.02
111.117720313505,0.02
114.089558518088,0.02
121.101271009073,0.1
123.113865661128,0.03
123.118752261735,0.03
124.111385371748,0.02
135.115906602108,0.04
184.204477740792,0.02
198.219544833236,0.02
226.254760425964,0.02
236.2412004584,0.02
252.268063139941,0.21
254.289076070082,0.02
262.251099626316,0.09
264.268536360908,0.26
282.27724196401,0.18
