"mz","intensity"
39.0261420390587,0.02
53.0403857067021,0.02
63.0234477234842,0.02
65.0392903946398,0.39
67.042998584255,0.03
75.0229973634634,0.02
77.0388620153397,0.04
79.0187149075439,0.03
80.050301177256,0.03
82.0655428070071,0.04
92.04978584186,0.22
93.0335905732197,0.02
94.0294067833394,0.02
96.0440169911065,0.04
104.049296065447,0.04
108.04381438407,0.02
109.051971976317,0.03
110.058967172076,0.07
120.043907484817,0.14
121.028860577793,0.02
122.022574429487,0.06
130.027888279036,0.02
138.055314891227,0.06
148.039417926497,1
166.048794796923,0.02
